"party","id","Name","Birth","Death","gender","Age.Group_Speech.","Period","Speech.Length","keyword","content.stemmed","content_remove_stem","ideology","vallankumous","kapina"
"Demokraattinen Vaihtoehto","http://ldf.fi/semparl/speeches/s1987_1_063_099","Stenius-Kaukonen, Marjatta",1947,NA,"Female","36-45","1960-2000","Short","vallankumous","herra puhe#mies ed ahonen annetulla esitys vallankumous edetä vankka askeli ei huomata sosiali#demokraatti tosissaan vallankumous yrittäisivät luopua ed virolainen luopua ed virolainen vallankumous kannattaa vallankumous edus#kunta selvemmä käydä vallankumous pitää tehdä jokin saada eteenpäin nimen#omaan kansa valtaenemmistö etu mukaisesti ed virolainen huono ilma vuosi no","herra puhemies ed ahonen annetulla esitys vallankumous edetä vankka askeli ei huomata sosialidemokraatti tosissaan vallankumous yrittäisivät luopua ed virolainen luopua ed virolainen vallankumous kannattaa vallankumous eduskunta selvemmä käydä vallankumous pitää tehdä jokin saada eteenpäin nimenomaan kansa valtaenemmistö etu mukaisesti ed virolainen huono ilma vuosi no","Left",1,0
"Demokraattinen Vaihtoehto","http://ldf.fi/semparl/speeches/s1987_1_074_351","Tennilä, Esko-Juhani",1947,2024,"Male","36-45","1960-2000","Very Long","kapina","osattoma pärjääa väliin suojella etuoikeutettu etuoikeus osattoma protesti tulla kanava muoto osattoa kapina esinä usa saada rikollisuus epäsosiaalinen meno muoto usa työllistäminen osa sosiaalipolitiikka kehittäminen osa säästää","osattoma pärjääa väliin suojella etuoikeutettu etuoikeus osattoma protesti tulla kanava muoto osattoa kapina esinä usa saada rikollisuus epäsosiaalinen meno muoto usa työllistäminen osa sosiaalipolitiikka kehittäminen osa säästää","Left",0,1
"Demokraattinen Vaihtoehto","http://ldf.fi/semparl/speeches/s1990_1_010_060","Laine, Ensio",1927,2021,"Male","56-65","1960-2000","Short",NA,NA,NA,"Left",NA,NA
"Demokraattinen Vaihtoehto","http://ldf.fi/semparl/speeches/s1986_1_058_147","Stenius-Kaukonen, Marjatta",1947,NA,"Female","36-45","1960-2000","Short","sisällissota","pakote vastaus vuosi taivuttaa etelä-afrikka hallitus ratkaisu ratkaisu saada ryhmä uskoa etelä-afrika syttyä viisi#toista kestävä sisällis#sota englanti vastustaa jokseenkin yksinään talouspakotte konservatiivinen hallitus pää#ministeri margari thatcher pitää tehotton ed kulha kertoa kuningatar mielipiteinen suhde","pakote vastaus vuosi taivuttaa etelä-afrikka hallitus ratkaisu ratkaisu saada ryhmä uskoa etelä-afrika syttyä viisitoista kestävä sisällissota englanti vastustaa jokseenkin yksinään talouspakotte konservatiivinen hallitus pääministeri margari thatcher pitää tehotton ed kulha kertoa kuningatar mielipiteinen suhde","Left",0,0
"Demokraattinen Vaihtoehto","http://ldf.fi/semparl/speeches/s1989_1_110_016","Löyttyjärvi, Marja-Liisa",1949,NA,"Female","36-45","1960-2000","Long","kapina","perus#turva alhainen taso palvelurakes ongelma sisältö tavallinen kansalainen kohta harjoittaa politiikka suomalainen yhteis#kunta suhteellinen rauhallinen näyttävä pinta kyteä tyytymättömyys kapina aineksinen pula kansalainen tehdä johto#päätös johto#päätös poliittinen johto#päätös vaikuttaa talo herra puhe#mies ottaa esille","perusturva alhainen taso palvelurakes ongelma sisältö tavallinen kansalainen kohta harjoittaa politiikka suomalainen yhteiskunta suhteellinen rauhallinen näyttävä pinta kyteä tyytymättömyys kapina aineksinen pula kansalainen tehdä johtopäätös johtopäätös poliittinen johtopäätös vaikuttaa talo herra puhemies ottaa esille","Left",0,1
"Demokraattinen Vaihtoehto","http://ldf.fi/semparl/speeches/s1987_1_063_086","Stenius-Kaukonen, Marjatta",1947,NA,"Female","36-45","1960-2000","Very Short","vallankumous","herra puhe#mies ed ahonen todeta kysymys mikään vallankumouksellisinen esitys pieni askeli vallankumous edetä tapa eteenpäin viedä peruste ulottaa osittainen hoitovapaa kahdeksanvuotias lapsi vanhempi","herra puhemies ed ahonen todeta kysymys mikään vallankumouksellisinen esitys pieni askeli vallankumous edetä tapa eteenpäin viedä peruste ulottaa osittainen hoitovapaa kahdeksanvuotias lapsi vanhempi","Left",1,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1937_1_074_006","Riipinen, Hilja",1883,1966,"Female","46-55","1920-1960","Very Short","vapaussota","vasen mäntsälä kapina kaikki viedä maa vapaus lujittaminen itsenäisyys julistaminen sellaisenan arvokas korkea kohoa teko itsenäisyys julistus lunastaminen nimittäin vapaussota arvokas tehdä vapaus#sota selvittäminen historiallisesti ansaita huomioidku liittyä vapaussota","vasen mäntsälä kapina kaikki viedä maa vapaus lujittaminen itsenäisyys julistaminen sellaisenan arvokas korkea kohoa teko itsenäisyys julistus lunastaminen nimittäin vapaussota arvokas tehdä vapaussota selvittäminen historiallisesti ansaita huomioidku liittyä vapaussota","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1937_1_016_005","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Long","kansalaissota","kansanvaltainen järjestelmä ed wiik kutsua espanja järjestelmä viimeinen yleinen vaalit menetellä mahdollisuus kansalaissota kohta vaalit hallita aines ruveta väkivalla hävittää vastakkainen puolueitten järjestö kirjapaina sanomalehtitoimisto n noin e hallitus voimassa olla hspanja kirkkoja sellainen voima valmis aseellisesti nujertaa tilaisuus espanja alkaa kansalaissota meillä alkaa kansalaissota vasemmalta yrittää alkaa vasemmistossa katsoitten olla varustaa käsi pitemmä voidaksenne kukistaa laillinen väki#valta käyttämättöä parlamenttaarinen sellainen voima valmis aseellisesti nujertaa tilaisuus espanja alkaa kansalaissota meillä alkaa kansalaissota vasemmalta yrittää alkaa vasemmistossa katsoitten olla varustaa käsi pitemmä voidaksenne kukistaa laillinen väki#valta käyttämättöä parlamenttaarinen hallitus#valta vasen entäs mäntsälä alkaen tämä sopimus tuomita kuolema päivänä vakuuttaa tällainen puuttumattomuussopimus tehdä kauhistuttava espanja kansalais#sota loppua puoli puuttumattomuussopimuksi loppu viivyttää mieli oikeastaan suomi taho tarpeeton tällainen narripeli","kansanvaltainen järjestelmä ed wiik kutsua espanja järjestelmä viimeinen yleinen vaalit menetellä mahdollisuus kansalaissota kohta vaalit hallita aines ruveta väkivalla hävittää vastakkainen puolueitten järjestö kirjapaina sanomalehtitoimisto n noin e hallitus voimassa olla hspanja kirkkoja sellainen voima valmis aseellisesti nujertaa tilaisuus espanja alkaa kansalaissota meillä alkaa kansalaissota vasemmalta yrittää alkaa vasemmistossa katsoitten olla varustaa käsi pitemmä voidaksenne kukistaa laillinen väkivalta käyttämättöä parlamenttaarinen sellainen voima valmis aseellisesti nujertaa tilaisuus espanja alkaa kansalaissota meillä alkaa kansalaissota vasemmalta yrittää alkaa vasemmistossa katsoitten olla varustaa käsi pitemmä voidaksenne kukistaa laillinen väkivalta käyttämättöä parlamenttaarinen hallitusvalta vasen entäs mäntsälä alkaen tämä sopimus tuomita kuolema päivänä vakuuttaa tällainen puuttumattomuussopimus tehdä kauhistuttava espanja kansalaissota loppua puoli puuttumattomuussopimuksi loppu viivyttää mieli oikeastaan suomi taho tarpeeton tällainen narripeli","Right",0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1935_2_020_059","Salmiala, Bruno",1890,1981,"Male","36-45","1920-1960","Very Long","kapina","kaikki kulua suoritetui roistontöi rikos toiminta haluta vetää verho isänmaallinen vaikute suojeluskunti osallisuus esinä mäntsälä kapina tampereen kapina helatorstai mahdollinen scnvuo jyrkisti moitittaa tasa#valta hallitus tasa#valta presidentti suojeluskunti korkea päällikkö kulua suoritetui roistontöi rikos toiminta haluta vetää verho isänmaallinen vaikute suojeluskunti osallisuus esinä mäntsälä kapina tampereen kapina helatorstai mahdollinen scnvuo jyrkisti moitittaa tasa#valta hallitus tasa#valta presidentti suojeluskunti korkea päällikkö ottaa laitos","kaikki kulua suoritetui roistontöi rikos toiminta haluta vetää verho isänmaallinen vaikute suojeluskunti osallisuus esinä mäntsälä kapina tampereen kapina helatorstai mahdollinen scnvuo jyrkisti moitittaa tasavalta hallitus tasavalta presidentti suojeluskunti korkea päällikkö kulua suoritetui roistontöi rikos toiminta haluta vetää verho isänmaallinen vaikute suojeluskunti osallisuus esinä mäntsälä kapina tampereen kapina helatorstai mahdollinen scnvuo jyrkisti moitittaa tasavalta hallitus tasavalta presidentti suojeluskunti korkea päällikkö ottaa laitos","Right",0,1
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1935_2_105_047","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Long","vapaussota","raskas elämänkoh#talo tehdä päivä päivä raskaa tunnus avoimesti julistaa sota vapaus#sota avoimesti tunnustaa silloinen työ#väki johtaja pettä osa työläis#veli päästä kohtaan puhua haava arpeutuminen lopullisesti","raskas elämänkohtalo tehdä päivä päivä raskaa tunnus avoimesti julistaa sota vapaussota avoimesti tunnustaa silloinen työväki johtaja pettä osa työläisveli päästä kohtaan puhua haava arpeutuminen lopullisesti","Right",0,0
