"party","id","Name","Birth","Death","gender","Age.Group_Speech.","Period","Speech.Length","keyword","content.stemmed","content_remove_stem","ideology","vallankumous","kapina","Natioanalism","Socialism","Pacifst"
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1937_1_074_006","Riipinen, Hilja",1883,1966,"Female","46-55","1920-1960","Very Short","vapaussota","vasen mäntsälä kapina kaikki viedä maa vapaus lujittaminen itsenäisyys julistaminen sellaisenan arvokas korkea kohoa teko itsenäisyys julistus lunastaminen nimittäin vapaussota arvokas tehdä vapaus#sota selvittäminen historiallisesti ansaita huomioidku liittyä vapaussota","vasen mäntsälä kapina kaikki viedä maa vapaus lujittaminen itsenäisyys julistaminen sellaisenan arvokas korkea kohoa teko itsenäisyys julistus lunastaminen nimittäin vapaussota arvokas tehdä vapaussota selvittäminen historiallisesti ansaita huomioidku liittyä vapaussota","Right",0,0,1,0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1934_1_005_035","Annala, Vilho",1888,1960,"Male","46-55","1920-1960","Very Long","vapaussota","laki isän#maa uhata peloittava vaara kansa sielu asua pelko katkeruus ruveta vähitellen muuttua viha oma lisätä kansalaissoda muuttua vapaussota kaikki kauhu via viha pohja voimakas isänmaanrakkaus aiheuttaa sellainen voimakas innostus ilmaisu talonpoikaismarssia puoli hyvin","laki isänmaa uhata peloittava vaara kansa sielu asua pelko katkeruus ruveta vähitellen muuttua viha oma lisätä kansalaissoda muuttua vapaussota kaikki kauhu via viha pohja voimakas isänmaanrakkaus aiheuttaa sellainen voimakas innostus ilmaisu talonpoikaismarssia puoli hyvin","Right",0,0,1,0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1937_1_029_022","Kares, Kaarlo",1873,1942,"Male","56-65","1920-1960","Very Short","kapina","nykyinen kapina varustaa nykyinen kapinallinen ase vieläpä lentokonei ihmeellinen asia kuulla ensinnä merkillinen nämä nykyinen kapina linen silloin kapinallinen muistaa kapinallinen leimata muodollisesti katsoa olla istua jotensa lujasti valta kapina tarvita valmistaa saksa itali auttaa kapinallinen toinen kapinallinen punainen kapinallinen kapina espanja verisesti kukistaa silloinen voittaja nykyinen kapinallinen käyttää voitto saada punainen kapina väärin espanja onnettomuus ensiksi puolue johtaja rovasti saada punanen käsi laillinen valta demokraattinen valta kieltämätön edellinen jausunnoi mieli asiallisi syy kuvata mienkä vallansaaminen nykyinen kapina n kun kapina syntyä luonnollinen valtiollinen moraali oikeuttaa itsepuolustus suoranainen väki#valta n kun laillinen hallitus käyttää ed kirra käsi laillinen valta demokraattinen valta kieltämätön edellinen jausunnoi mieli asiallinen syy kuvata mienkä vallansaaminen nykyinen kapina n kun kapina syntyä luonnollinen valtiollinen moraali oikeuttaa itsepuolustus suoranainen väki#valta n kun laillinen hallitus käyttää ed kirra kapinallinen","nykyinen kapina varustaa nykyinen kapinallinen ase vieläpä lentokonei ihmeellinen asia kuulla ensinnä merkillinen nämä nykyinen kapina linen silloin kapinallinen muistaa kapinallinen leimata muodollisesti katsoa olla istua jotensa lujasti valta kapina tarvita valmistaa saksa itali auttaa kapinallinen toinen kapinallinen punainen kapinallinen kapina espanja verisesti kukistaa silloinen voittaja nykyinen kapinallinen käyttää voitto saada punainen kapina väärin espanja onnettomuus ensiksi puolue johtaja rovasti saada punanen käsi laillinen valta demokraattinen valta kieltämätön edellinen jausunnoi mieli asiallisi syy kuvata mienkä vallansaaminen nykyinen kapina n kun kapina syntyä luonnollinen valtiollinen moraali oikeuttaa itsepuolustus suoranainen väkivalta n kun laillinen hallitus käyttää ed kirra käsi laillinen valta demokraattinen valta kieltämätön edellinen jausunnoi mieli asiallinen syy kuvata mienkä vallansaaminen nykyinen kapina n kun kapina syntyä luonnollinen valtiollinen moraali oikeuttaa itsepuolustus suoranainen väkivalta n kun laillinen hallitus käyttää ed kirra kapinallinen","Right",0,1,1,0,0
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1933_1_033_075","Riipinen, Hilja",1883,1966,"Female","46-55","1920-1960","Long","vapaussota","työ suorittaa pääanen tehdä tällainen kielto edusi#kunta ryhtyä edus#kunta toimia väittä - —— perustus#laki henki loukata maan#puolustus vastaisesti vapaussota opetti välttämätön nainen maa puolustettaa kansa elää vaaranalainen asemaksa saada väheksyä keino maanpuolustus edistää","työ suorittaa pääanen tehdä tällainen kielto edusikunta ryhtyä eduskunta toimia väittä - —— perustuslaki henki loukata maanpuolustus vastaisesti vapaussota opetti välttämätön nainen maa puolustettaa kansa elää vaaranalainen asemaksa saada väheksyä keino maanpuolustus edistää","Right",0,0,1,0,0
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1919_1_114_211","Vennola, Juho",1872,1938,"Male","46-55","1920-1960","Long","kapina","lähteä nimen#omaan hiukan finanssipolitiika valtiovarainvalio#kunta lähteä koettaa suinkki saada peittää läinoi meno punainen kapina ymnä mindä itsenäisyys järjestäminen tuottaa epäilemättä maljon tervee politiikka poliitikka valtiovarainvalio#kunta esittää valtiovarainvalio#kunta koettanutka","lähteä nimenomaan hiukan finanssipolitiika valtiovarainvaliokunta lähteä koettaa suinkki saada peittää läinoi meno punainen kapina ymnä mindä itsenäisyys järjestäminen tuottaa epäilemättä maljon tervee politiikka poliitikka valtiovarainvaliokunta esittää valtiovarainvaliokunta koettanutka","Right",0,1,1,0,0
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1922_1_037_027","Jaskari, Aaro",1880,1925,"Male","36-45","1920-1960","Very Long","vallankumous, kansalaissota, kapina","proletariaatti kaikki toiminta kaikki taistelu lakko yleinen esiintyminen katumielenosoitus nousu ase käsi kommunistinen liike sanoa kulkea ankara taistelu julistaa maailma vallankumous lähetä kulj taistelu varustautukaa uusi taistelu kommunismi aapinen -nimisessä teos sivu sanoa vallankumous ajatteleminen mahdollinen kka salaissotaa kommunismi aapinen -nimisessä teos sivu sanoa vallankumous ajatteleminen mahdollinen kka salais#sota yrittää lempeydi taivuttaa tiikeri syödä ruoho olla syöä lehmä vallankumous teko osa väestö kivääri pistima tykki pakottaa osa totella tahto selvä välttämättömyys ihmiskunna le tehdä loppu kommunismi j. e väenpuolue sosialistinen aikakauslehti liitevihkonen suomi sosialistinen työväen#luokka vallankumouksellinen tieto sy a ventää alkulause mainita julkaista kirjanen m m sanoa kansalaissota maailma päiväjärjestyknen lippu neuvostova jatkaa väliin liike rauhoittua pysähtyä ryöpsähtäki häiritä tuotanto pitää valtiokoneisto alituinen jännitys saattaa porvaristo hirvittää ajatella minkälainen hengenravinto maa työläisi tyrkyttää askeinen iia nen internatsionale kongress moskova julistaa neuvosto#herra buchari m m jokin maa puheta kommunistinen vallankumous sikäläinen kommunisti odottaa apu neuvosto-venäjä armeija kommunistipoja uskollinen oppi-isäin neuvo luottaa anntaa vakuutus epäilys suomalainen kommunistinen puolue keskus#komitea pietari neuvostohallitus kaikki tapa avustama kannattaa jatkaa toiminta ylin johtaminen tarkoitus saada suoma kapina vieläpä vaatia vpunaupseerea aijotui saapua upseerikoulu sitoumus toimia edellämainita ohje mukaisesti sitoumuksetta sisältyä ehto punaupseerikoulu päästä entä","proletariaatti kaikki toiminta kaikki taistelu lakko yleinen esiintyminen katumielenosoitus nousu ase käsi kommunistinen liike sanoa kulkea ankara taistelu julistaa maailma vallankumous lähetä kulj taistelu varustautukaa uusi taistelu kommunismi aapinen -nimisessä teos sivu sanoa vallankumous ajatteleminen mahdollinen kka salaissotaa kommunismi aapinen -nimisessä teos sivu sanoa vallankumous ajatteleminen mahdollinen kka salaissota yrittää lempeydi taivuttaa tiikeri syödä ruoho olla syöä lehmä vallankumous teko osa väestö kivääri pistima tykki pakottaa osa totella tahto selvä välttämättömyys ihmiskunna le tehdä loppu kommunismi j. e väenpuolue sosialistinen aikakauslehti liitevihkonen suomi sosialistinen työväenluokka vallankumouksellinen tieto sy a ventää alkulause mainita julkaista kirjanen m m sanoa kansalaissota maailma päiväjärjestyknen lippu neuvostova jatkaa väliin liike rauhoittua pysähtyä ryöpsähtäki häiritä tuotanto pitää valtiokoneisto alituinen jännitys saattaa porvaristo hirvittää ajatella minkälainen hengenravinto maa työläisi tyrkyttää askeinen iia nen internatsionale kongress moskova julistaa neuvostoherra buchari m m jokin maa puheta kommunistinen vallankumous sikäläinen kommunisti odottaa apu neuvosto-venäjä armeija kommunistipoja uskollinen oppi-isäin neuvo luottaa anntaa vakuutus epäilys suomalainen kommunistinen puolue keskuskomitea pietari neuvostohallitus kaikki tapa avustama kannattaa jatkaa toiminta ylin johtaminen tarkoitus saada suoma kapina vieläpä vaatia vpunaupseerea aijotui saapua upseerikoulu sitoumus toimia edellämainita ohje mukaisesti sitoumuksetta sisältyä ehto punaupseerikoulu päästä entä","Right",0,0,1,0,0
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1935_1_003_006","Kivimäki, T.M.",1886,1968,"Male","46-55","1920-1960","Long","kapina","sisäpoliittinen tapahtuma tahalla käyttää tarkoitu tosiasiaa voida kieltää valtiollinen kysymys ratkaisemattoma työntää sivu mäntsälä kapina jälkiselvittely estää useitten kysymys tuleminen päiväjärjestyknen muistaa valtiopäivi löytyä mielenkiinto sellainen kysymys","sisäpoliittinen tapahtuma tahalla käyttää tarkoitu tosiasiaa voida kieltää valtiollinen kysymys ratkaisemattoma työntää sivu mäntsälä kapina jälkiselvittely estää useitten kysymys tuleminen päiväjärjestyknen muistaa valtiopäivi löytyä mielenkiinto sellainen kysymys","Right",0,1,1,0,0
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1934_1_005_057","Sarlin, Bruno",1878,1951,"Male","56-65","1920-1960","Very Long","kapina","nuori mies sellainen teko rikoslakea lei#maa rikos aa totta totisesti ed kari trasen henki kiihoitus tulos käsittää mäntsälä kapina lapoka liike viedä kapina kapina v alkaa valtiollinen liikehtiminen loogillinen loppu#tulos kylvtää epäilys laki kirjain levittää oppa tehdä lei#maa rikos aa totta totisesti ed kari trasen henki kiihoitus tulos käsittää mäntsälä kapina lapoka liike viedä kapina kapina v alkaa valtiollinen liikehtiminen loogillinen loppu#tulos kylvtää epäilys laki kirjain levittää oppa tehdä tahdoda kansanjohtaja julistaa","nuori mies sellainen teko rikoslakea leimaa rikos aa totta totisesti ed kari trasen henki kiihoitus tulos käsittää mäntsälä kapina lapoka liike viedä kapina kapina v alkaa valtiollinen liikehtiminen loogillinen lopputulos kylvtää epäilys laki kirjain levittää oppa tehdä leimaa rikos aa totta totisesti ed kari trasen henki kiihoitus tulos käsittää mäntsälä kapina lapoka liike viedä kapina kapina v alkaa valtiollinen liikehtiminen loogillinen lopputulos kylvtää epäilys laki kirjain levittää oppa tehdä tahdoda kansanjohtaja julistaa","Right",0,1,1,0,0
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1920_1_068_011","Vennola, Juho",1872,1938,"Male","46-55","1920-1960","Very Long","vallankumous","vallankumous positiivinen tulos itä-europpa europpa demokratiseeraaminen suorittaa historiallinen tehtävä itä-europpa olo uudestaan järjestäminen demokraattisemma pohja aika ranska vallankumous suorittaa länsi-europa toisenlainen sisällys toinen edellytys yhteis#kunnallinen valtiollinen liike maailma saavuttaa ihanteitaan toteutua muoto","vallankumous positiivinen tulos itä-europpa europpa demokratiseeraaminen suorittaa historiallinen tehtävä itä-europpa olo uudestaan järjestäminen demokraattisemma pohja aika ranska vallankumous suorittaa länsi-europa toisenlainen sisällys toinen edellytys yhteiskunnallinen valtiollinen liike maailma saavuttaa ihanteitaan toteutua muoto","Right",1,0,1,1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1932_2_077_100","Riipinen, Hilja",1883,1966,"Female","46-55","1920-1960","Short","kapina","painaa korkea kirjaima sos.dem pää-äänenkannaitaja etusivu ylistys sveita sotaväki siirtyä kansa tahtoa sanoa kapinallinen puoli ed aaltonen entäs suomi mäntsälä kapina tä voida tapahtua luotettava maa puolustusväki siitä vasen sellainen viha maanpuolustus huomata","painaa korkea kirjaima sos.dem pää-äänenkannaitaja etusivu ylistys sveita sotaväki siirtyä kansa tahtoa sanoa kapinallinen puoli ed aaltonen entäs suomi mäntsälä kapina tä voida tapahtua luotettava maa puolustusväki siitä vasen sellainen viha maanpuolustus huomata","Right",0,1,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1935_2_020_037","Leiwo, Yrjö",1884,1964,"Male","46-55","1920-1960","Long","vallankumous","punalipa symboli i soida ikuinen totuus punaida nen aate elää kankaan päällä työ#väki joukkoliikkei ed kivi salo oikeinä vallankumous väriltä punainen tulinen yhteiskunnalllinen luomis#työ pa#lava elää sellainen #lippu porvaristo kansalais#sota","punalipa symboli i soida ikuinen totuus punaida nen aate elää kankaan päällä työväki joukkoliikkei ed kivi salo oikeinä vallankumous väriltä punainen tulinen yhteiskunnalllinen luomistyö palava elää sellainen lippu porvaristo kansalaissota","Right",1,0,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1919_1_012_032","Malmivaara, Wilhelmi",1854,1922,"Male","56-65","Civil_War","Very Short","kapina","mahdollinen maa porvarillinen valta kansana jokainen täyttänei samallainen oikeus osanotto yhteis#kunnallinen valtiollinen elää viimevuotinen kapina tarkoittaa porvarillinen valta kukistaminen ottaa kukistaas kansan#valta laillinen yhteiskuntajärjestys tehdä kansa onnettomuus sitä pitää vieläkin jatkua saada","mahdollinen maa porvarillinen valta kansana jokainen täyttänei samallainen oikeus osanotto yhteiskunnallinen valtiollinen elää viimevuotinen kapina tarkoittaa porvarillinen valta kukistaminen ottaa kukistaas kansanvalta laillinen yhteiskuntajärjestys tehdä kansa onnettomuus sitä pitää vieläkin jatkua saada","Right",0,1,1,1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1927_1_025_049","Pennanen, Pekka",1872,1960,"Male","46-55","1920-1960","Very Short","kapina","va ljo#kunta ehdotus erota lepäää ollei lakiehdotuknen perustuslakivalio#kunta ehdottaa minä pyytää sana kohta johdosta ensinnä syy huomauttaa sota kapina sellainen automaattisesti johtaa sota#tila lakiehdotus niinkuin $ nen näkyä kanta sota kapina vaihe sota kapina sellainen automaattisesti johtaa sota#tila lakiehdotus niinkuin $ nen näkyä kanta sota kapina vaihe valta#kunta pää#mies katsoa maan#puolustus oikeusjärjestys yllä#pitäminen vaatia sota#tila julistaminen maa osa asettaa sota#tila","va ljokunta ehdotus erota lepäää ollei lakiehdotuknen perustuslakivaliokunta ehdottaa minä pyytää sana kohta johdosta ensinnä syy huomauttaa sota kapina sellainen automaattisesti johtaa sotatila lakiehdotus niinkuin $ nen näkyä kanta sota kapina vaihe sota kapina sellainen automaattisesti johtaa sotatila lakiehdotus niinkuin $ nen näkyä kanta sota kapina vaihe valtakunta päämies katsoa maanpuolustus oikeusjärjestys ylläpitäminen vaatia sotatila julistaminen maa osa asettaa sotatila","Right",0,1,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1926_1_054_023","Ingman, Lauri",1868,1934,"Male","56-65","1920-1960","Very Long","vallankumous","olla take suomi kuulua muutamiin kapitalistinen ympärysvalto niinkuin stahli todistaa lopullinen voitto saavuttaminen koettaa aikaansaada kommunistinen vallankumous selvä sija yrittää nostattaa vallankumous maa vastustus valtiollinen poliisi lakkauttaminen määrärahain supistaminen riittämätön edistää","olla take suomi kuulua muutamiin kapitalistinen ympärysvalto niinkuin stahli todistaa lopullinen voitto saavuttaminen koettaa aikaansaada kommunistinen vallankumous selvä sija yrittää nostattaa vallankumous maa vastustus valtiollinen poliisi lakkauttaminen määrärahain supistaminen riittämätön edistää","Right",1,0,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1928_1_022_016","Ingman, Lauri",1868,1934,"Male","56-65","1920-1960","Short","kapina","häpäistä johdonmukaisesti taistella suomi itsenäisyys ylistää johdonmukaisesti venäläinen lkoetta pitää suomi kiinteä venäjä kapina lehdi todellinen elämäneliksiiri johoka aima palata voima innostus näyttää puuttua kommunistinen liike kapinaliike suoranainen jatko toinen muoto","häpäistä johdonmukaisesti taistella suomi itsenäisyys ylistää johdonmukaisesti venäläinen lkoetta pitää suomi kiinteä venäjä kapina lehdi todellinen elämäneliksiiri johoka aima palata voima innostus näyttää puuttua kommunistinen liike kapinaliike suoranainen jatko toinen muoto","Right",0,1,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1936_1_018_028","Kokko, Väinö",1880,1943,"Male","56-65","1920-1960","Very Long","vallankumous","ulospääsyä sosialistinen sovjettiva suomeakki käyttää puhua neuvostova sovjettiva sanoa suorastaan suinkaan tarkoitus kommunistinen vallankumous lenini teesi saa muullainen aseellinen verinen murskaaminen säälimätön hävittäminen mieli onnistua päätös#lauselma antaa tarkka silmä noudattaa kominterni ohje suuriäänisesti kilvoiteltaa humaanisuus kulttuuri y.m kaunis kunnes saada kypsytetä joukko syvämpiä vallankumouksellinen tunnus sietää ajaa lopuksi taisto vallankumous valtio#valta pitää huoli valtio turvallisuus ajoissa estää yritys tähtäää valtio itsenäisyys tuhoaminen valtiovalla käytettävänä eli etsivä keskuspoliisi","ulospääsyä sosialistinen sovjettiva suomeakki käyttää puhua neuvostova sovjettiva sanoa suorastaan suinkaan tarkoitus kommunistinen vallankumous lenini teesi saa muullainen aseellinen verinen murskaaminen säälimätön hävittäminen mieli onnistua päätöslauselma antaa tarkka silmä noudattaa kominterni ohje suuriäänisesti kilvoiteltaa humaanisuus kulttuuri y.m kaunis kunnes saada kypsytetä joukko syvämpiä vallankumouksellinen tunnus sietää ajaa lopuksi taisto vallankumous valtiovalta pitää huoli valtio turvallisuus ajoissa estää yritys tähtäää valtio itsenäisyys tuhoaminen valtiovalla käytettävänä eli etsivä keskuspoliisi","Right",1,0,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1920_1_114_028","Arajärvi, Juhani",1867,1941,"Male","46-55","1920-1960","Very Short","kapina","pitää vasemmistonkaan sentään suomi itsenäisyys pääanen tapa tehdä valiittaa sarota valtioteko maa sota kapina valitettava muu valitus tilaisuus pitää käydä tapa tapahtua","pitää vasemmistonkaan sentään suomi itsenäisyys pääanen tapa tehdä valiittaa sarota valtioteko maa sota kapina valitettava muu valitus tilaisuus pitää käydä tapa tapahtua","Right",0,1,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1932_2_026_008","Pihkala, Martti",1882,1966,"Male","46-55","1920-1960","Long","kapina","epäluotettava lkansanvaltainen valtiojärjestyknen vihamielinen ed puittinen esimerkki syytös vasen todistaa viimeinen viikko mäntsälä tapahtuma ed hakkila sanoa kapina suojeluskuntajärjestö päinvastoin osoittaa olla wanma lu valtiollinen laillinen yhteiskuntajärjestys turva ikä armeija ed puittinen i läheskään","epäluotettava lkansanvaltainen valtiojärjestyknen vihamielinen ed puittinen esimerkki syytös vasen todistaa viimeinen viikko mäntsälä tapahtuma ed hakkila sanoa kapina suojeluskuntajärjestö päinvastoin osoittaa olla wanma lu valtiollinen laillinen yhteiskuntajärjestys turva ikä armeija ed puittinen i läheskään","Right",0,1,1,0,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1931_1_084_014","Pihkala, Martti",1882,1966,"Male","46-55","1920-1960","Very Long","vallankumous, vapaussota","voima vähetä myöten kansalainen joilleka lainalainen yhteiskuntajärjestys ylläpitäminen sydän saada vallita venäjä vallankumous puhjeta maassa täydellinen anarki tosiaan anarkiaa punainen anarkia kansanliike ryhtyä valtio#valta musertaa sotavoi#maa poliisivoi#maa saattaa kansalainen alkaa varma maanpetos avoimesti tunnustaa myöntää valtiollinen puolue ohjelma sosialidemokraattinen puolue hyväksyä ohjelma hyväksyä väki#valtainen vallankumous saattaa toisinaan vasta tarpeellinen ohjelma tuntea valkoinen väki itse turvallinen ed paasivuori ei perustus#laki loukkaus maanpetos istua perustuslakivaliokunna korjata heikkous kansanliikkei luulla vapaussota parakraaffi koura voittaa usko usko tietää edus#kunta ainoa jäsen uskoa","voima vähetä myöten kansalainen joilleka lainalainen yhteiskuntajärjestys ylläpitäminen sydän saada vallita venäjä vallankumous puhjeta maassa täydellinen anarki tosiaan anarkiaa punainen anarkia kansanliike ryhtyä valtiovalta musertaa sotavoimaa poliisivoimaa saattaa kansalainen alkaa varma maanpetos avoimesti tunnustaa myöntää valtiollinen puolue ohjelma sosialidemokraattinen puolue hyväksyä ohjelma hyväksyä väkivaltainen vallankumous saattaa toisinaan vasta tarpeellinen ohjelma tuntea valkoinen väki itse turvallinen ed paasivuori ei perustuslaki loukkaus maanpetos istua perustuslakivaliokunna korjata heikkous kansanliikkei luulla vapaussota parakraaffi koura voittaa usko usko tietää eduskunta ainoa jäsen uskoa","Right",0,0,1,0,0
