"party","id","Name","Birth","Death","gender","Age.Group_Speech.","Period","Speech.Length","keyword","content.stemmed","content_remove_stem","ideology","vallankumous","kapina","Natioanalism","Socialism","Pacifst"
"Isänmaallinen kansanliike","http://ldf.fi/semparl/speeches/s1935_2_078_046","Riipinen, Hilja",1883,1966,"Female","46-55","1920-1960","Short","vallankumous","m.m taavi tainio kirjoittaa voimakkaasti korostaa yhteis#kunnallinen tieto tärkeys luokkataistelu harjaantumattomilla nahkapoji porvariyhteiskunta kukistaa kirjoittaa jatkaa tapahtua vallankumous kansanjoukko aivo ennenkuin tapahtua yhteis#kunta vasen","m.m taavi tainio kirjoittaa voimakkaasti korostaa yhteiskunnallinen tieto tärkeys luokkataistelu harjaantumattomilla nahkapoji porvariyhteiskunta kukistaa kirjoittaa jatkaa tapahtua vallankumous kansanjoukko aivo ennenkuin tapahtua yhteiskunta vasen","Right",1,0,0,1,0
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1919_1_076_002","Vennola, Juho",1872,1938,"Male","46-55","Civil_War","Very Long","punakapina, kapina","vaikea arkaluontoisi kysymys suomi nuori tasavalla sisäpolitiika ratkaistaa kysymys saada syvä katketa jälki surullinen punakapi jättää jälkeen miin tasoittaa toinen seistä kansanluokka voida löytää yhteinen positiivinen työ isäna hyvä nykyinen keskustahallitus nähdä kansa ryhmä onni voida mi pohja rakentaa käyttäminen yhteis#kunta parannuskeinon vaatia ennem poliittinen joukkorikos käsiteltää alvan erikoinen harkinta ymmärrettää punakapi heräitää maa kauhuntunte kansalainen joidem omainen murhata silvottu sortua uhri omainen uhrata veri järjestys palauttaminen liiallinen hempeämielisyydi rikoksentekijä kohtaan järkyttää oikeudentunto yhteis#kunnallinen järjestys kunnioitus vetoominen historiallinen yhteiskunnallinen vaikuttimi herättää muistutus ottaa huomio kapina puheta aikama laaja yhteis#kunnallinen parannuksi toteuttaa valmistua puoli kiellettää syy punakapina huomio yhteis#kunta osa punakapina hyökkäys esine muodostaa suomi kansa enemmistö oikeus vaatia tunnustus oikeuskäsitykselleen take kapina uudistua suhde mieli vakaantua punakapina jälki mukana tuoa kauhu ovai tuore muisto elää lukuinen kansalainen tietoisuus","vaikea arkaluontoisi kysymys suomi nuori tasavalla sisäpolitiika ratkaistaa kysymys saada syvä katketa jälki surullinen punakapi jättää jälkeen miin tasoittaa toinen seistä kansanluokka voida löytää yhteinen positiivinen työ isäna hyvä nykyinen keskustahallitus nähdä kansa ryhmä onni voida mi pohja rakentaa käyttäminen yhteiskunta parannuskeinon vaatia ennem poliittinen joukkorikos käsiteltää alvan erikoinen harkinta ymmärrettää punakapi heräitää maa kauhuntunte kansalainen joidem omainen murhata silvottu sortua uhri omainen uhrata veri järjestys palauttaminen liiallinen hempeämielisyydi rikoksentekijä kohtaan järkyttää oikeudentunto yhteiskunnallinen järjestys kunnioitus vetoominen historiallinen yhteiskunnallinen vaikuttimi herättää muistutus ottaa huomio kapina puheta aikama laaja yhteiskunnallinen parannuksi toteuttaa valmistua puoli kiellettää syy punakapina huomio yhteiskunta osa punakapina hyökkäys esine muodostaa suomi kansa enemmistö oikeus vaatia tunnustus oikeuskäsitykselleen take kapina uudistua suhde mieli vakaantua punakapina jälki mukana tuoa kauhu ovai tuore muisto elää lukuinen kansalainen tietoisuus","Right",0,0,0,1,0
"Kansallinen Edistyspuolue","http://ldf.fi/semparl/speeches/s1920_1_068_011","Vennola, Juho",1872,1938,"Male","46-55","1920-1960","Very Long","vallankumous","vallankumous positiivinen tulos itä-europpa europpa demokratiseeraaminen suorittaa historiallinen tehtävä itä-europpa olo uudestaan järjestäminen demokraattisemma pohja aika ranska vallankumous suorittaa länsi-europa toisenlainen sisällys toinen edellytys yhteis#kunnallinen valtiollinen liike maailma saavuttaa ihanteitaan toteutua muoto","vallankumous positiivinen tulos itä-europpa europpa demokratiseeraaminen suorittaa historiallinen tehtävä itä-europpa olo uudestaan järjestäminen demokraattisemma pohja aika ranska vallankumous suorittaa länsi-europa toisenlainen sisällys toinen edellytys yhteiskunnallinen valtiollinen liike maailma saavuttaa ihanteitaan toteutua muoto","Right",1,0,1,1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1919_1_012_032","Malmivaara, Wilhelmi",1854,1922,"Male","56-65","Civil_War","Very Short","kapina","mahdollinen maa porvarillinen valta kansana jokainen täyttänei samallainen oikeus osanotto yhteis#kunnallinen valtiollinen elää viimevuotinen kapina tarkoittaa porvarillinen valta kukistaminen ottaa kukistaas kansan#valta laillinen yhteiskuntajärjestys tehdä kansa onnettomuus sitä pitää vieläkin jatkua saada","mahdollinen maa porvarillinen valta kansana jokainen täyttänei samallainen oikeus osanotto yhteiskunnallinen valtiollinen elää viimevuotinen kapina tarkoittaa porvarillinen valta kukistaminen ottaa kukistaas kansanvalta laillinen yhteiskuntajärjestys tehdä kansa onnettomuus sitä pitää vieläkin jatkua saada","Right",0,1,1,1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1926_1_027_035","Somersalo, Eva",1883,1956,"Female","36-45","1920-1960","Very Long","kapina","toiminta ymmärrtää kaikenlainen työ#väki harjoittaa välitön painostus kapitalismi vallankumous boikottaa lakko katuliike mielen#osoitus työ#paikka valtaaminen kappale tehtainen vienti väki#valtainen vastustaminen aseistaa kapina vallankumouksellinen toiminta oma yhdistää työväen#luokka taistelu sosialismi vallankumouksellinen ammatillinen järjestö tehdä ollen luoda suora toiminta keino työväenluokki kasvattaminen","toiminta ymmärrtää kaikenlainen työväki harjoittaa välitön painostus kapitalismi vallankumous boikottaa lakko katuliike mielenosoitus työpaikka valtaaminen kappale tehtainen vienti väkivaltainen vastustaminen aseistaa kapina vallankumouksellinen toiminta oma yhdistää työväenluokka taistelu sosialismi vallankumouksellinen ammatillinen järjestö tehdä ollen luoda suora toiminta keino työväenluokki kasvattaminen","Right",0,1,0,1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1977_1_138_132","Junnila, Tuure",1910,1999,"Male","66+","1960-2000","Long","vallankumous","suomi nousta kapina laillinen svinhufvuti johtaa hallitus leni nimittäin toivoa eittämätön historiallinen tosianen suomi tapahtua samanlainen yhteis#kunnallinen vallankumous johdolla toimeenpantu venäjä ed e laine välihuuto ed laine lenini toive toteutua ed e laine toteutua suomi laine ed junnila kertoa ed ehrnrooth jokin myöhemmi yhteys suomi itsenäisyys käydä lenini toivoa yhteis#kunnallinen vallankumous tapahtua käydä laneta ikuinen ansio mannerheima jääkäri johtama talonpoikaisarmeija ratkaisea osuud suomi itsenäistyminen juhlavuos","suomi nousta kapina laillinen svinhufvuti johtaa hallitus leni nimittäin toivoa eittämätön historiallinen tosianen suomi tapahtua samanlainen yhteiskunnallinen vallankumous johdolla toimeenpantu venäjä ed e laine välihuuto ed laine lenini toive toteutua ed e laine toteutua suomi laine ed junnila kertoa ed ehrnrooth jokin myöhemmi yhteys suomi itsenäisyys käydä lenini toivoa yhteiskunnallinen vallankumous tapahtua käydä laneta ikuinen ansio mannerheima jääkäri johtama talonpoikaisarmeija ratkaisea osuud suomi itsenäistyminen juhlavuos","Right",1,0,1,1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1935_2_020_044","Horelli, Toivo",1888,1975,"Male","46-55","1920-1960","Very Long","vapaussota, vallankumous","armeija suurimpina erikoisesti vohjois-hämäläinen loukata tampere valtauspäivä kaupunki johto taho virallisesti yhtyä juhlia tampere valloitus muisto valloitus isuomi vapaussota asia ratkaistim siniristilipa täytyä sivullis toimi mainita päivä vetää kaupunki julkinen rakennus katoi liehua erikoinen ärsyttävä tuntua kaupunki johto menettely huhtikuu alkupäiä jolloinka halu jatkaa punainen vallankumous symboole punainen lippu olla pohjois hämei ottaa täys sosialidemokraati p nä huhtikuu kirjoittaa sana osa kuulua vallankumous väri punainen tulinen ser yhteis#kunnallinen luomis#työ elää palaa sellainen sc lippu suomi porvaristo punaistenkki lippu ennustaa punainen vallankumous malli täys päättää valmistella yrittää toteuttaa tampere kokemus millainen vallankumous käytäntö $ sosialidemokraatti kirjoitustakki tietää tulinen punainen kaatua luku#määrä poro polttaa kaupungin#osa huhtikuu alkupäivä","armeija suurimpina erikoisesti vohjois-hämäläinen loukata tampere valtauspäivä kaupunki johto taho virallisesti yhtyä juhlia tampere valloitus muisto valloitus isuomi vapaussota asia ratkaistim siniristilipa täytyä sivullis toimi mainita päivä vetää kaupunki julkinen rakennus katoi liehua erikoinen ärsyttävä tuntua kaupunki johto menettely huhtikuu alkupäiä jolloinka halu jatkaa punainen vallankumous symboole punainen lippu olla pohjois hämei ottaa täys sosialidemokraati p nä huhtikuu kirjoittaa sana osa kuulua vallankumous väri punainen tulinen ser yhteiskunnallinen luomistyö elää palaa sellainen sc lippu suomi porvaristo punaistenkki lippu ennustaa punainen vallankumous malli täys päättää valmistella yrittää toteuttaa tampere kokemus millainen vallankumous käytäntö $ sosialidemokraatti kirjoitustakki tietää tulinen punainen kaatua lukumäärä poro polttaa kaupunginosa huhtikuu alkupäivä","Right",0,0,1,1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1990_1_171_061","Lamminen, Kalevi",1935,2021,"Male","56-65","1960-2000","Very Short","kapina","kriisityyppi valmiuslakia soveltaa kohta sanoa kriisi lutaa tilanne aiheuttaa suurtyöttömyys työtaistelu myynti ostoboikottaa mellakka kapina taikka rinnastaa sisäsyntyinen tapahtuma nykyinen sotatilalakiha mahdollisuus työtaistelu kieltäminen käsitellä tietty tilanne tarpeen maa olla","kriisityyppi valmiuslakia soveltaa kohta sanoa kriisi lutaa tilanne aiheuttaa suurtyöttömyys työtaistelu myynti ostoboikottaa mellakka kapina taikka rinnastaa sisäsyntyinen tapahtuma nykyinen sotatilalakiha mahdollisuus työtaistelu kieltäminen käsitellä tietty tilanne tarpeen maa olla","Right",0,1,0,1,0
"Kansallinen Kokoomus","http://ldf.fi/semparl/speeches/s1992_1_022_091","Louvo, Anna-Kaarina",1937,NA,"Female","46-55","1960-2000","Long","vallankumous","osallistua suomi tavoite asettaminen neuvottelu seuraaminen syksy eurooppa kokea muutos itäinen keski-eurooppa vapautua sosialismi kurimuknen unkari tshekkoslovakia ddr ssä tapahtua porvarillinen vallankumous slovenia kroatia puola aloittaa uudistusprosessi tapahtuma eurooppa ylle levitä toivo saksa","osallistua suomi tavoite asettaminen neuvottelu seuraaminen syksy eurooppa kokea muutos itäinen keski-eurooppa vapautua sosialismi kurimuknen unkari tshekkoslovakia ddr ssä tapahtua porvarillinen vallankumous slovenia kroatia puola aloittaa uudistusprosessi tapahtuma eurooppa ylle levitä toivo saksa","Right",1,0,0,1,1
"Nuorsuomalainen Puolue","http://ldf.fi/semparl/speeches/s1910_1_013_073","Renvall, Heikki",1872,1955,"Male","36-45",NA,"Very Long","vallankumous","aikaansaataa suuri hyvinvointi vähentää kurjuus silloin aihe tyytymättömyys vähentyä aihe viha nykyinen yhteis#kunta pienemmä käydä yhteiskuntauudistus yhteis#kunnallinen vallankumous vastakkainen poliittinen käsite vallankumouksellinen sosialidemokraatti tunteva viha vain sosialidemokraatti asettua kehitys kanta n s","aikaansaataa suuri hyvinvointi vähentää kurjuus silloin aihe tyytymättömyys vähentyä aihe viha nykyinen yhteiskunta pienemmä käydä yhteiskuntauudistus yhteiskunnallinen vallankumous vastakkainen poliittinen käsite vallankumouksellinen sosialidemokraatti tunteva viha vain sosialidemokraatti asettua kehitys kanta n s","Center",1,0,0,1,0
